name,institution,course_url,course_id,avg_rating,n_reviews,popularity_score,popularity_norm
Legal Tech & Startups,IE Business School,https://www.coursera.org/learn/legal-tech-startups,legal-tech-startups,4.012195121951219,82.0,17.72925073128147,0.35103760483824936
The Business of Product Management I,Advancing Women in Product,https://www.coursera.org/learn/the-business-of-product-management-one,the-business-of-product-management-one,4.333333333333333,9.0,9.977868736307531,0.19756092322637467
AI for Medical Prognosis,DeepLearning.AI,https://www.coursera.org/learn/ai-for-medical-prognosis,ai-for-medical-prognosis,4.698630136986301,219.0,25.342660936970685,0.5017824571596565
UX / UI: Fundamentos para o design de interface,Universidade de São Paulo,https://www.coursera.org/learn/ux-ui-design-de-interface,ux-ui-design-de-interface,4.341269841269841,378.0,25.77644685857212,0.5103713802472434
Industrial IoT on Google Cloud Platform,Google Cloud,https://www.coursera.org/learn/iiot-google-cloud-platform,iiot-google-cloud-platform,4.537340619307832,1647.0,33.60952352783118,0.6654656092232879
Database Management Essentials,University of Colorado System,https://www.coursera.org/learn/database-management,database-management,4.494865211810013,1558.0,33.04534947561721,0.6542950126198088
Fundamentals of Machine Learning for Healthcare,Stanford University,https://www.coursera.org/learn/fundamental-machine-learning-healthcare,fundamental-machine-learning-healthcare,4.833333333333333,18.0,14.231455065971128,0.2817815583659795
Corporate Strategy,UCL School of Management,https://www.coursera.org/learn/corporatestrategy,corporatestrategy,4.948275862068965,348.0,28.97251106331201,0.5736531703435168
Managing an Agile Team,University of Virginia,https://www.coursera.org/learn/uva-darden-agile-team-management,uva-darden-agile-team-management,4.700704225352113,568.0,29.82070556182624,0.5904473467984794
Getting started with TensorFlow 2,Imperial College London,https://www.coursera.org/learn/getting-started-with-tensor-flow2,getting-started-with-tensor-flow2,4.944055944055944,143.0,24.57103498461701,0.48650433118294256
Mathematics for Machine Learning: PCA,Imperial College London,https://www.coursera.org/learn/pca-machine-learning,pca-machine-learning,3.491108071135431,1462.0,25.44404885280897,0.5037899289741656
Object Oriented Programming in Java,University of California San Diego,https://www.coursera.org/learn/object-oriented-java,object-oriented-java,4.696917808219178,3504.0,38.3359885752442,0.7590492013752189
Embedded Software and Hardware Architecture,University of Colorado Boulder,https://www.coursera.org/learn/embedded-software-hardware,embedded-software-hardware,4.310344827586207,145.0,21.4810630246049,0.4253231581993508
Memoir and Personal Essay: Managing Your Relationship with the Reader,Wesleyan University,https://www.coursera.org/learn/memoir-reader-relationship,memoir-reader-relationship,4.386363636363637,132.0,21.45084958515451,0.42472493475610756
